product_code,product_description
PIGA0001,ELECTRICAL GERBER WITH ACCESSORIES
PIGB0001,FOOD GRADE GUNNY BAGS
PIGC0001,DESCALING SOLUTION MILKOSCREEN
PIGE0001,GENERAL LEDGER
PIGI0001,AM & SC Register
PIGL0001,GENERAL LEDGER.
PIGN0001,A.I. GUN.
PIGR0001,KEY SHEET GRACE
PIGS0001,GOUDHARA SHAKTHI 
PIHA0001,LOWER HOUSING ASSEMBLY
PIHC0001,UPPER HEAD CABLE
PIHE0001,KEY SHEET CANON
PIHF0001,HF-SEMEN
PIHL0001,HDPE LACTOMETER CYLINDER PLASTIC
PIHM0001,"HARDDISK HPPRO1110,MICROTOWER,SEGAT(SATA"
PIHO0001,ALCOHOLE BOTTLE PLASTIC
PIHP0001,"PROCESSOR HP PRO1110MICROTOWER,INTEL"
PIHS0001,HF*SH-SEMEN
PIIC0001,ANIMAL INSEMINATION CRATE
PIID0001,PROCESSOR INTEL DUAL CORE
PIIG0001,MILK PIPPET GLASS1
PIIN0001,"PROCESSOR, INTEL I1"
PIIX0001,MINERAL MIXTURE(Chelated)
PIJE0201,JERRY CAN 2 LTR CAPACITY
PIJR0001,JR-SEMEN
PIJY0001,JY-SEMEN
PIKD0001,KSHEERA DISPLAY WITH KEY SHEET PAD
PIKE0001,DELL MULTIMEDIA KEYBOARD KB216
PIKH0001,KANNADA EVP HANDBOOK TITLED
PIKK0001,MPCS MILK ADULTRATION KIT SMALL
PIKP0001,LM2 KEY PAD (KEY SHEET PAD)
PIKS0001,SWITCH (KSHEERA)
PILA0001,SWITCH (LACTOSCAN)
PILB0001,PRINTER LOGIC BOARD
PILC0001,LOAD CELL 100KG SS
PILD0001,LD POWDER (EDTA POWDER) (1 IN 1)
PILD1001,LACTO DAILY POWDER 100GM
PILE0001,SAMPLE BOTTLE (PLASTIC).
PILG0001,MONITOR LG 18.5FT
PILO0001,MVR LOG BOOK
PILP0001,LACTO DAILY POWDER
PILW0001,MPCS BYE-LAW BOOK NEW
PILW1001,LACTO WEEKLY POWDER 100GM
PILZ0001,MOTOR (M.ANALYSER) LACTOSCAN
PIMA0001,RIBBON MASK
PIMA1001,MILKING MACHINE WITH 1HP MOTOR & ACCESSOR
PIMA1101,MILKING MACHINE WITH 1/1 MOTOR & ACCESSOR.
PIMB0001,SENSOR (MASTER CLASSIC BRAND)
PIMC0001,MOTHER BOARD FOR MASTER CLASSIC BRANDS
PIMD0001,OPTICAL MOUSE DELL
PIME0001,TILT MEASUR 1CC
PIFT0001,MPCS AGREEMENT FORMAT PAD.
PIPO0001,OPICAL MOUSE FRONTECH
PIMF0001,"SMPS HPPRO1110,MICROTOWER,FRONTECH"
PIMG0001,Margine Money Book
PIMI0001,MEMORY/RAM HP PRO1110 MICROTOWER (2GB)
PIMK0001,KEY SHEET (MASTER CLASSIC)
PIML0001,MILK CAN CLEANING SOLUTION -KG-STERBAC-
PIMU0001,EU MEASURING MUG
PIMM0001,MARGINE MONEY BOOK.
PIMN0001,A.I. FRENCH MINI GUN
PIOU0001,OPTICAL MOUSE
PIMO0001,PF MOTOR
PIMY0001,EU MB PLATE FOR SYRINGE
PIMW0001,Milk Pass Book with Cover
PISC0002,SCALE MAIN PCB (ESSAE)
PIMS0001,CENTERFUG MACHINE SET(MANUAL)
PIMS1500,MAH-11-5 MAIZE SEEDS
PIMR0001,LACTOMETER.
PIMT0001,THERMOMETER-(MERCURY)
PIMV0001,MVR COUPAN BOOK RS 5/-
PIMX0001,Member Register.
PINC0001,DELIVERY NOTE BOOK CATTLE FEED
PINE0001,SUPER NEPIER
PING0001,ALLU MILK PLUNGER
